,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
0,0470179.001,"[[-73.971223, 40.685021], [-73.969062, 40.684157], [-73.96866399999999, 40.682], [-73.97064, 40.682414], [-73.971223, 40.685021]]",1451,         43328,1499,1251,1451,279,602,57,1451,45,602,583
1,0470181.002,"[[-73.973126, 40.689622], [-73.972687, 40.687415], [-73.972398, 40.685953999999995], [-73.973274, 40.685842], [-73.97337399999999, 40.685885], [-73.973648, 40.687303], [-73.974109, 40.689662999999996], [-73.973126, 40.689622]]",887,         34541,919,264,887,450,486,106,887,28,486,373
2,0470185.012,"[[-73.97426399999999, 40.695100000000004], [-73.975048, 40.695080999999995], [-73.97506299999999, 40.69508], [-73.976188, 40.695098], [-73.976351, 40.695916], [-73.976407, 40.696191999999996], [-73.973457, 40.696079999999995], [-73.97343099999999, 40.695812], [-73.973309, 40.695209999999996], [-73.97426399999999, 40.695100000000004]]",1209,         27882,1248,849,1209,178,467,22,1209,36,467,460
3,0470191.001,"[[-73.96405399999999, 40.693628], [-73.96444799999999, 40.695595], [-73.96444799999999, 40.695702], [-73.964551, 40.696107], [-73.962839, 40.698039], [-73.962294, 40.698125999999995], [-73.961051, 40.698326], [-73.96015799999999, 40.694117], [-73.96109299999999, 40.694010999999996], [-73.962211, 40.69386], [-73.963127, 40.693733], [-73.96405399999999, 40.693628]]",735,        134169,770,149,735,232,257,76,735,32,257,224
4,0470193.002,"[[-73.965188, 40.689782], [-73.962392, 40.690106], [-73.960293, 40.690346], [-73.96000599999999, 40.688880999999995], [-73.962836, 40.688555], [-73.96481, 40.688325999999996], [-73.965188, 40.689782]]",1757,         68271,1824,1531,1757,635,1015,68,1757,58,1015,486
5,0470195.002,"[[-73.96711499999999, 40.689561], [-73.967531, 40.691643], [-73.967844, 40.69323], [-73.966881, 40.693341], [-73.966566, 40.691756], [-73.966135, 40.689673], [-73.96711499999999, 40.689561]]",795,         34138,842,270,795,358,386,100,795,43,386,300
6,0470197.001,"[[-73.965822, 40.688209], [-73.966821, 40.688088], [-73.96711499999999, 40.689561], [-73.966135, 40.689673], [-73.965188, 40.689782], [-73.96481, 40.688325999999996], [-73.965822, 40.688209]]",391,         27762,418,112,391,187,202,49,391,27,202,156
7,0470199.002,"[[-73.968054, 40.684205], [-73.967056, 40.684318999999995], [-73.965082, 40.684546], [-73.964779, 40.68304], [-73.96688999999999, 40.683482999999995], [-73.96795999999999, 40.683726], [-73.96892199999999, 40.684101999999996], [-73.968054, 40.684205]]",707,         30537,748,358,707,339,356,94,707,35,356,334
8,0470201.003,"[[-73.964033, 40.684667999999995], [-73.963072, 40.684779999999996], [-73.962611, 40.682587], [-73.963664, 40.682807], [-73.964779, 40.68304], [-73.965082, 40.684546], [-73.964033, 40.684667999999995]]",995,         35876,1049,447,995,507,483,153,995,46,483,377
9,0470227.003,"[[-73.959595, 40.681953], [-73.958586, 40.681743], [-73.958246, 40.679984999999995], [-73.958292, 40.679831], [-73.96131199999999, 40.680456], [-73.961424, 40.681433999999996], [-73.96161099999999, 40.682375], [-73.959595, 40.681953]]",757,         52909,786,581,757,194,306,52,757,28,306,270
10,0470001.002,"[[-73.99600099999999, 40.699007], [-73.995379, 40.700309], [-73.993672, 40.699836], [-73.994292, 40.698535], [-73.995145, 40.698774], [-73.99600099999999, 40.699007]]",939,         23574,948,79,939,176,266,27,939,9,266,162
11,0470003.013,"[[-73.995547, 40.695892], [-73.99585499999999, 40.695221], [-73.996197, 40.694507], [-73.997699, 40.694983], [-73.997078, 40.696311], [-73.99641299999999, 40.696131], [-73.995547, 40.695892]]",889,         21993,920,29,889,389,494,69,889,28,494,258
